play_id,game_id,season,season_type,week,game_date,home_team,away_team,posteam,defteam,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,play_type,yards_gained,epa,success,shotgun,no_huddle,goal_to_go,distance_bucket,field_zone,red_zone,score_state,late_down,short_yardage
61,2024_01_ARI_BUF,2024,REG,1,2024-09-08,BUF,ARI,ARI,BUF,1.0,10,70.0,1,900.0,1800.0,3600.0,0.0,3.0,3.0,run,3.0,-0.200602158438414,0,0,0,0,Long (7-10),Own Territory,0,Within 7 points,0,0
83,2024_01_ARI_BUF,2024,REG,1,2024-09-08,BUF,ARI,ARI,BUF,2.0,7,67.0,1,867.0,1767.0,3567.0,0.0,3.0,3.0,pass,22.0,2.02887390041724,1,0,0,0,Long (7-10),Own Territory,0,Within 7 points,0,0
108,2024_01_ARI_BUF,2024,REG,1,2024-09-08,BUF,ARI,ARI,BUF,1.0,10,45.0,1,823.0,1723.0,3523.0,0.0,3.0,3.0,pass,9.0,0.754242303897627,1,1,0,0,Long (7-10),Plus Territory,0,Within 7 points,0,0
133,2024_01_ARI_BUF,2024,REG,1,2024-09-08,BUF,ARI,ARI,BUF,2.0,1,36.0,1,782.0,1682.0,3482.0,0.0,3.0,3.0,run,2.0,-0.0296019295929,0,0,0,0,Short (1-3),Plus Territory,0,Within 7 points,0,1
155,2024_01_ARI_BUF,2024,REG,1,2024-09-08,BUF,ARI,ARI,BUF,1.0,10,34.0,1,746.0,1646.0,3446.0,0.0,3.0,3.0,run,2.0,-0.2477488379227,0,1,0,0,Long (7-10),Plus Territory,0,Within 7 points,0,0
177,2024_01_ARI_BUF,2024,REG,1,2024-09-08,BUF,ARI,ARI,BUF,2.0,8,32.0,1,711.0,1611.0,3411.0,0.0,3.0,3.0,run,2.0,-0.530138513073325,0,0,0,0,Long (7-10),Plus Territory,0,Within 7 points,0,0
199,2024_01_ARI_BUF,2024,REG,1,2024-09-08,BUF,ARI,ARI,BUF,3.0,6,30.0,1,668.0,1568.0,3368.0,0.0,3.0,3.0,pass,8.0,1.68080025457311,1,1,0,0,Medium (4-6),Plus Territory,0,Within 7 points,1,0
224,2024_01_ARI_BUF,2024,REG,1,2024-09-08,BUF,ARI,ARI,BUF,1.0,10,22.0,1,632.0,1532.0,3332.0,0.0,3.0,3.0,pass,0.0,-0.467625330435112,0,1,0,0,Long (7-10),Plus Territory,0,Within 7 points,0,0
265,2024_01_ARI_BUF,2024,REG,1,2024-09-08,BUF,ARI,ARI,BUF,2.0,10,22.0,1,628.0,1528.0,3328.0,0.0,3.0,3.0,run,-3.0,-1.28108894452453,0,1,0,0,Long (7-10),Plus Territory,0,Within 7 points,0,0
287,2024_01_ARI_BUF,2024,REG,1,2024-09-08,BUF,ARI,ARI,BUF,3.0,13,25.0,1,588.0,1488.0,3288.0,0.0,3.0,3.0,run,6.0,2.37708547827788,1,1,0,0,Very Long (11+),Plus Territory,0,Within 7 points,1,0
