play_id,game_id,posteam,defteam,down,ydstogo,yardline_100,qtr,score_differential,play_type,yards_gained,epa,success,shotgun,no_huddle,distance_bucket,field_zone
1,DEMO_0000,TEAM_02,TEAM_01,1,2,22,2,1,pass,21,1.014,0,1,1,Short (1-3),Plus Territory
2,DEMO_0000,TEAM_10,TEAM_06,1,4,14,4,19,run,5,0.099,0,1,0,Medium (4-6),Red Zone
3,DEMO_0000,TEAM_08,TEAM_07,1,8,77,3,3,run,6,0.73,0,0,0,Long (7-10),Own Territory
4,DEMO_0000,TEAM_06,TEAM_10,3,4,24,2,1,run,1,0.045,0,0,0,Medium (4-6),Plus Territory
5,DEMO_0000,TEAM_06,TEAM_08,2,13,6,4,12,pass,4,-0.939,0,1,0,Very Long (11+),Red Zone
6,DEMO_0000,TEAM_11,TEAM_03,1,14,60,3,5,run,5,-0.702,0,1,0,Very Long (11+),Own Territory
7,DEMO_0000,TEAM_02,TEAM_06,1,13,55,3,8,run,5,0.263,1,1,0,Very Long (11+),Own Territory
8,DEMO_0000,TEAM_09,TEAM_05,4,2,5,4,-22,run,15,0.237,1,1,0,Short (1-3),Red Zone
9,DEMO_0000,TEAM_03,TEAM_12,1,8,69,2,4,pass,-1,0.476,1,1,0,Long (7-10),Own Territory
10,DEMO_0000,TEAM_02,TEAM_07,1,7,66,1,-5,run,6,-0.127,0,0,0,Long (7-10),Own Territory
11,DEMO_0000,TEAM_07,TEAM_08,1,13,96,1,-6,pass,-5,0.894,1,0,0,Very Long (11+),Backed Up
12,DEMO_0000,TEAM_12,TEAM_09,1,3,76,2,-2,pass,-5,-1.479,1,1,0,Short (1-3),Own Territory
13,DEMO_0000,TEAM_09,TEAM_04,3,7,80,4,-7,pass,-6,0.38,0,1,0,Long (7-10),Own Territory
14,DEMO_0000,TEAM_10,TEAM_12,3,3,74,4,7,run,0,-0.751,1,0,0,Short (1-3),Own Territory
15,DEMO_0000,TEAM_09,TEAM_08,1,12,65,3,-12,run,4,-0.232,1,1,0,Very Long (11+),Own Territory
16,DEMO_0000,TEAM_10,TEAM_11,3,2,63,3,-18,run,13,0.005,0,1,0,Short (1-3),Own Territory
17,DEMO_0000,TEAM_07,TEAM_10,1,20,62,2,-2,pass,-6,-1.364,1,1,0,Very Long (11+),Own Territory
18,DEMO_0000,TEAM_02,TEAM_08,3,9,44,4,13,run,8,0.289,0,1,1,Long (7-10),Plus Territory
19,DEMO_0000,TEAM_11,TEAM_01,1,7,10,2,-5,run,3,0.276,1,1,0,Long (7-10),Red Zone
