feature,importance
ydstogo,0.2785572887789423
down,0.07699498228831883
yardline_100,0.06510564973098829
game_seconds_remaining,0.05616098722858337
play_type_pass,0.04961128475371818
half_seconds_remaining,0.04825865241186417
play_type_run,0.04554812241495914
late_down,0.039100001007456836
score_differential,0.03829257841468075
quarter_seconds_remaining,0.038225415673918385
short_yardage,0.035003547942981134
distance_bucket_Short (1-3),0.027974010326251762
week,0.02425897230710352
posteam_CLE,0.014071611179834137
posteam_BAL,0.013878518903469503
defteam_CAR,0.012588985035837713
defteam_timeouts_remaining,0.010558318872733398
posteam_timeouts_remaining,0.009783227192611441
no_huddle,0.008692397318504614
defteam_HOU,0.008257544474875374
shotgun,0.006851037275247507
posteam_DET,0.006364899362895326
defteam_PHI,0.006193464195007134
field_zone_Plus Territory,0.0058478598554007975
posteam_KC,0.00470494828081396
qtr,0.004595598865943396
defteam_NO,0.004279265520928147
field_zone_Own Territory,0.00409915373412031
posteam_TB,0.0036684985946754166
posteam_HOU,0.0035472418417874935
posteam_BUF,0.0033321166051722704
posteam_CHI,0.003186066280296561
defteam_CLE,0.002528979693283435
defteam_BAL,0.002495259863763969
defteam_BUF,0.002421998586807341
defteam_DEN,0.002303671508004247
posteam_WAS,0.002079086384816115
defteam_ATL,0.0016678250935530606
distance_bucket_Very Long (11+),0.0015548534239053328
posteam_GB,0.0015540297200002766
defteam_CIN,0.0014554717463092803
posteam_CIN,0.0014027964634676453
posteam_ARI,0.0013746841494537703
posteam_LV,0.0012757626793545905
defteam_JAX,0.0011909506896076042
defteam_ARI,0.0011788401968125977
distance_bucket_Medium (4-6),0.0011337200009165248
score_state_Within 7 points,0.0011181422902189026
defteam_IND,0.0011040817213163892
posteam_MIA,0.0010844767310727902
defteam_CHI,0.0010411580497158214
posteam_SF,0.0009968834231589565
posteam_NO,0.0009857377256312651
posteam_DAL,0.0009150523799053407
distance_bucket_Long (7-10),0.0008052072952376144
posteam_ATL,0.0007012829466213507
posteam_TEN,0.0006853540042047197
posteam_DEN,0.0006488280691496753
defteam_LAC,0.000635012314746637
posteam_NYG,0.0006247663920588462
score_state_Trailing by 8+,0.0006182483445030709
score_state_Leading by 8+,0.0006005982690681116
posteam_NE,0.0005804499524250162
field_zone_Red Zone,0.0005620696988822029
posteam_CAR,0.000538610529312909
defteam_NYG,0.000528297492603798
defteam_GB,0.0004748991625633143
season_type_POST,0.0004123748176230757
goal_to_go,0.00040508132623050524
posteam_LA,0.00033669018896387976
defteam_MIN,0.00021481570384580654
field_zone_Backed Up,0.00016650354809795843
defteam_WAS,5.200752865027589e-06
defteam_NYJ,0.0
posteam_JAX,0.0
red_zone,0.0
defteam_PIT,0.0
defteam_SEA,0.0
defteam_SF,0.0
defteam_TB,0.0
defteam_TEN,0.0
defteam_NE,0.0
defteam_DAL,0.0
defteam_MIA,0.0
defteam_LV,0.0
defteam_LA,0.0
defteam_KC,0.0
defteam_DET,0.0
posteam_IND,0.0
posteam_SEA,0.0
posteam_PIT,0.0
posteam_PHI,0.0
posteam_NYJ,0.0
posteam_MIN,0.0
posteam_LAC,0.0
season_type_REG,0.0
