down,distance_bucket,field_zone,play_type,plays,success_rate,avg_epa,avg_yards
1.0,Long (7-10),Backed Up,pass,472,0.5169491525423728,0.14791524414693535,8.726694915254237
1.0,Long (7-10),Backed Up,run,647,0.31375579598145287,-0.08150819230494903,5.02936630602782
1.0,Long (7-10),Own Territory,pass,3456,0.49681712962962965,0.09126012098038319,7.576099537037037
1.0,Long (7-10),Own Territory,run,3494,0.3574699484831139,-0.07443525381239852,4.896107613050945
1.0,Long (7-10),Plus Territory,pass,2076,0.46917148362235067,0.052498618215045256,6.452793834296725
1.0,Long (7-10),Plus Territory,run,2380,0.3903361344537815,-0.06787776306522754,4.928151260504202
1.0,Long (7-10),Red Zone,pass,555,0.42702702702702705,0.08681734607364298,4.236036036036036
1.0,Long (7-10),Red Zone,run,886,0.3837471783295711,-0.05381684639076863,3.8002257336343117
1.0,Medium (4-6),Backed Up,pass,5,0.8,-0.6641870639054112,9.6
1.0,Medium (4-6),Backed Up,run,3,0.6666666666666666,0.07876101601868897,5.333333333333333
1.0,Medium (4-6),Own Territory,pass,15,0.4,0.039865869031442694,7.0
1.0,Medium (4-6),Own Territory,run,22,0.7272727272727273,0.20328693819465107,7.090909090909091
1.0,Medium (4-6),Plus Territory,pass,11,0.18181818181818182,-0.15835371009465712,4.181818181818182
1.0,Medium (4-6),Plus Territory,run,20,0.7,0.08786782299575853,5.25
1.0,Medium (4-6),Red Zone,pass,95,0.47368421052631576,-0.11983176081741545,2.294736842105263
1.0,Medium (4-6),Red Zone,run,190,0.5105263157894737,-0.0171279341944393,2.4157894736842107
1.0,Short (1-3),Red Zone,pass,90,0.5,0.06140718304765544,0.9555555555555556
1.0,Short (1-3),Red Zone,run,253,0.5098814229249012,0.09197583178420864,0.6245059288537549
1.0,Very Long (11+),Backed Up,pass,66,0.42424242424242425,-0.1751953658284478,4.621212121212121
1.0,Very Long (11+),Backed Up,run,41,0.4146341463414634,-0.02395853120265769,4.2926829268292686
1.0,Very Long (11+),Own Territory,pass,197,0.4517766497461929,-0.002603958085472436,6.375634517766497
1.0,Very Long (11+),Own Territory,run,95,0.3263157894736842,-0.2607298270364194,4.810526315789474
1.0,Very Long (11+),Plus Territory,pass,137,0.40875912408759124,-0.027893435779050596,5.138686131386861
1.0,Very Long (11+),Plus Territory,run,65,0.3230769230769231,-0.12843587177787696,4.446153846153846
1.0,Very Long (11+),Red Zone,pass,30,0.43333333333333335,0.2701625617046374,5.633333333333334
1.0,Very Long (11+),Red Zone,run,20,0.5,0.13512670267227783,4.35
2.0,Long (7-10),Backed Up,pass,260,0.45,0.07074177289603242,6.361538461538461
2.0,Long (7-10),Backed Up,run,124,0.3951612903225806,0.0003086787337745648,5.395161290322581
2.0,Long (7-10),Own Territory,pass,1661,0.44792293798916316,0.07072194030850935,6.599638771824202
2.0,Long (7-10),Own Territory,run,814,0.3759213759213759,-0.02814941173874856,5.450859950859951
2.0,Long (7-10),Plus Territory,pass,1063,0.46378174976481656,0.047046986044085824,6.190968955785513
2.0,Long (7-10),Plus Territory,run,608,0.38651315789473684,-0.07249161027755976,4.947368421052632
2.0,Long (7-10),Red Zone,pass,424,0.35141509433962265,-0.006021122275032757,3.5943396226415096
2.0,Long (7-10),Red Zone,run,237,0.350210970464135,-0.06250348162001304,3.8143459915611815
2.0,Medium (4-6),Backed Up,pass,75,0.6,0.2994942007566962,6.773333333333333
2.0,Medium (4-6),Backed Up,run,79,0.3924050632911392,-0.08137654249196799,4.063291139240507
2.0,Medium (4-6),Own Territory,pass,626,0.5431309904153354,0.13317189526691361,6.806709265175719
2.0,Medium (4-6),Own Territory,run,573,0.4712041884816754,0.060577289518058214,5.4118673647469455
2.0,Medium (4-6),Plus Territory,pass,417,0.486810551558753,0.12992847629046977,6.5155875299760195
2.0,Medium (4-6),Plus Territory,run,439,0.4533029612756264,-0.025474143522666408,4.312072892938496
2.0,Medium (4-6),Red Zone,pass,252,0.4087301587301587,0.006444213040657552,2.9682539682539684
2.0,Medium (4-6),Red Zone,run,249,0.42971887550200805,0.0352513363947681,3.325301204819277
2.0,Short (1-3),Backed Up,pass,21,0.5714285714285714,0.16558583707471064,6.0476190476190474
2.0,Short (1-3),Backed Up,run,43,0.5116279069767442,-0.02904053561411106,4.162790697674419
2.0,Short (1-3),Own Territory,pass,267,0.599250936329588,0.06257779752985627,6.823970037453184
2.0,Short (1-3),Own Territory,run,460,0.532608695652174,-0.048056573783295586,4.45
2.0,Short (1-3),Plus Territory,pass,220,0.6,0.0924174404607833,7.4
2.0,Short (1-3),Plus Territory,run,372,0.5779569892473119,0.03059514485155306,4.669354838709677
2.0,Short (1-3),Red Zone,pass,183,0.4426229508196721,-0.15304676222893263,1.7704918032786885
2.0,Short (1-3),Red Zone,run,364,0.5054945054945055,0.05937154225813428,1.7115384615384615
2.0,Very Long (11+),Backed Up,pass,151,0.40397350993377484,0.0030224287581001124,6.947019867549669
2.0,Very Long (11+),Backed Up,run,62,0.3548387096774194,-0.014341538696880173,5.274193548387097
2.0,Very Long (11+),Own Territory,pass,657,0.4185692541856925,-0.007271206863176632,6.742770167427702
2.0,Very Long (11+),Own Territory,run,172,0.3313953488372093,-0.01398374367678585,6.209302325581396
2.0,Very Long (11+),Plus Territory,pass,473,0.47568710359408034,0.17118191948497027,6.906976744186046
2.0,Very Long (11+),Plus Territory,run,133,0.47368421052631576,0.08572228915157305,6.075187969924812
2.0,Very Long (11+),Red Zone,pass,109,0.41284403669724773,0.09047665746961389,5.045871559633028
2.0,Very Long (11+),Red Zone,run,29,0.3103448275862069,-0.2868540167551615,3.9310344827586206
3.0,Long (7-10),Backed Up,pass,115,0.34782608695652173,-0.010888632984690207,6.71304347826087
3.0,Long (7-10),Backed Up,run,20,0.5,0.4964650005073053,7.2
3.0,Long (7-10),Own Territory,pass,806,0.3238213399503722,-0.15216875379367376,6.150124069478908
